site_url,bias
burrardstreetjournal.com, satire
economist.com, center
patriotupdate.com, fake-news
newsbreakshere.com, fake-news
truthfeed.com, fake-news
wilsoncenter.org, center
triblive.com, right-center
telesurtv.net, left
baptistnews.com, leftcenter
sandiegouniontribune.com, right-center
projectveritas.com, right
geopoliticsalert.com, leftcenter
thetab.com, leftcenter
maplight.org, center
sundaysportonline.co.uk, satire
muncievoice.com, leftcenter
jstor.org, pro-science
publicpolicypolling.com, center
breakthrough.holylandnutrition.com, conspiracy
stopfake.org, leftcenter
usanews4u.us, fake-news
adelaidenow.com.au, right
mediazone.news, fake-news
ncbi.nlm.nih.gov, pro-science
cnn.com, left
conservativeoutfitters.com, right
itsgoingdown.org, left
democraticunderground.com, left
nytimes.com, leftcenter
avoiceformen.com, fake-news
newmatilda.com, leftcenter
themaven.net, left
redpolitics.us, fake-news
thetrumpmedia.com, fake-news
bostonglobe.com, leftcenter
bjreview.com, leftcenter
postbulletin.com, right-center
girlsjustwannahaveguns.com, fake-news
gq.com, left
rightwingnews.com, fake-news
thebalance.com, center
debatepost.com, right
cpj.org, center
earthmagazine.org, pro-science
usapubliclife.com, fake-news
futureinamerica.com, right
adobochronicles.com, satire
realclimate.org, pro-science
thebaffler.com, leftcenter
thestar.com, leftcenter
represent.us, center
en.radiovaticana.va, fake-news
religionmind.com, conspiracy
newrepublic.com, left
faithpanda.com, conspiracy
srnnews.com, right-center
abc.net.au, center
acpeds.org, fake-news
puppetstringnews.com, fake-news
newamericannews.com, conspiracy
bigleaguepolitics.com, right
hollywoodreporter.com, leftcenter
mysanantonio.com, leftcenter
nextnewsnetwork.com, right
nation.com.pk, right-center
westmonster.com, right-center
samuel-warde.com, left
econewsmedia.org, conspiracy
politicsusanews.com, fake-news
independentlivingnews.com, conspiracy
lewrockwell.com, right
beholdisrael.org, conspiracy
liberalsociety.com, fake-news
conservativearmy88.com, fake-news
blue-route.org, left
westernjournalism.com, right
livingwhole.org, conspiracy
clarionproject.org, fake-news
westernfreepress.com, right
youngcons.com, right
fitsnews.com, right-center
eaglerising.com, fake-news
russia-insider.com, right-center
morningstaronline.co.uk, left
bust.com, left
medium.com, leftcenter
agerpres.ro, center
rt.com, right-center
weaselzippers.us, right
wired.com, leftcenter
news.harvard.edu, center
taskandpurpose.com, center
pressherald.com, leftcenter
politicalears.com, fake-news
teapartytribune.com, right
tytnetwork.com, left
freep.com, leftcenter
oilprice.com, right-center
investors.com, right-center
yesimright.com, fake-news
nationalmemo.com, left
theness.com, pro-science
theihs.org, right-center
theoslotimes.com, leftcenter
powderedwigsociety.com, fake-news
merionwest.com, center
afr.com, center
realclearinvestigations.com, right-center
skeptic.com, pro-science
americanfreepress.net, conspiracy
nationalobserver.com, leftcenter
truebluescoop.com, fake-news
theshovel.com.au, satire
followthemoney.org, center
alternativemediasyndicate.com, fake-news
thehayride.com, right
theresurgent.com, right
usafacts.org, center
investigaterussia.org, leftcenter
bostonherald.com, right-center
quantamagazine.org, pro-science
pacificresearch.org, right-center
americanconsequences.com, right
rollingstone.com, leftcenter
usahitman.com, conspiracy
newsline.com, right-center
torontosun.com, right
heartland.org, right
feministing.com, left
cscmediagroupus.com, right
leftaction.com, left
mentalfloss.com, center
stpete4peace.org, left
uft.org, leftcenter
thirdway.org, center
recode.net, center
al-monitor.com, leftcenter
councilforthenationalinterest.org, leftcenter
siouxcityjournal.com, center
bmj.com, pro-science
stocksnewsdaily.com, leftcenter
naturalcures.com, conspiracy
metro.co.uk, leftcenter
conspatriot.com, fake-news
bluetribune.com, fake-news
washingtontimes.com, right-center
counterpropa.com, conspiracy
americablog.com, left
news.err.ee, center
powerofnative.com, fake-news
rense.com, conspiracy
standard.net, center
intrepidreport.com, left
conservapedia.com, fake-news
waterfordwhispersnews.com, satire
kuow.org, leftcenter
daily49er.com, left
huffingtonpost.com, left
quillette.com, right-center
movingleft.com, fake-news
france24.com, leftcenter
reuters.com, center
londonwebnews.com, fake-news
thesaturdaypaper.com.au, leftcenter
publicintegrity.org, center
assassinationscience.com, conspiracy
wallstreetonparade.com, leftcenter
nmws.us, fake-news
thesunmagazine.org, leftcenter
geoengineeringwatch.org, conspiracy
redstatepundit.com, fake-news
usatoday.com, center
electronicintifada.net, left
mediashift.org, center
latimes.com, leftcenter
toinformistoinfluence.com, leftcenter
meanlefthook.com, left
politifact.com, center
kentucky.com, leftcenter
sonsoflibertymedia.com, fake-news
smh.com.au, leftcenter
piie.com, center
leftfootforward.org, left
stormcloudsgathering.com, conspiracy
reporterslab.org, center
dailyhive.com, leftcenter
truthexaminer.com, fake-news
freebeacon.com, right
c-span.org, center
americanbridgepac.org, left
cis.org, fake-news
timesunion.com, leftcenter
newswithviews.com, fake-news
newint.org, left
nevo.news, fake-news
countdowntozerotime.com, conspiracy
bloodandsoil.org, fake-news
sfchronicle.com, leftcenter
savannahnow.com, right-center
ebar.com, left
politicususa.com, left
belfercenter.org, center
geologyin.com, pro-science
nautil.us, pro-science
lohud.com, leftcenter
collective-evolution.com, conspiracy
deseretnews.com, right-center
justfacts.com, right-center
amren.com, fake-news
orlandosentinel.com, right-center
consciouslifenews.com, conspiracy
advocate.com, left
pnas.org, pro-science
thepeoplescube.com, satire
wakeup-world.com, conspiracy
thepublicdiscourse.com, fake-news
iwf.org, right
esquire.com, left
countercurrentnews.com, conspiracy
mexiconewsdaily.com, leftcenter
worldnewsdailyreport.com, satire
babylonbee.com, satire
whatreallyhappened.com, conspiracy
csglobe.com, conspiracy
rightweb.irc-online.org, leftcenter
ancient-code.com, conspiracy
govtslaves.info, conspiracy
gallup.com, center
